Compound,G_sol,DeltaG_sol,sol_dip,Lsolu_Hsolv,Lsolv_Hsolu,O_charges,C_charges,Most_neg,Most_pos,Het_charges,volume,MW,SASA,LogS
QTBSBXVTEAMEQO-UHFFFAOYSA-N,-14.44062046,-0.01312214,2.667,5.3164,14.1134,0.37642052,-0.91909214,-0.50200483,0.41295038,0.37642052,73.3921,60.0524,201.31681819999997,1.22
QTSBFJRVBUIZJC-UHFFFAOYSA-N,-71.28087395,-0.018496128,12.190999999999999,4.0989,12.2974,0.24731703,-1.76563777,-0.34298643,0.21801483,0.64087972,400.18800000000005,449.2472,618.815918,-3.523
QUBSMEXIPLOOMC-UHFFFAOYSA-N,-44.31820922,-0.02712506,5.745,4.2705,12.6784,0.6348866999999999,-1.20041166,-0.670981,1.17706894,-0.10001522,248.09400000000002,251.333,407.9810486,-2.594
QUEKGYQTRJVEQC-UHFFFAOYSA-N,-40.63066988,-0.02097498,2.9730000000000003,2.6313,13.8214,0.05377539,-0.8484386999999999,-0.47389668,0.58273983,0.06979342,195.19799999999998,201.5659,342.10321039999997,-1.7481099999999998
QUIKDFWIKDMXIO-UHFFFAOYSA-N,-60.08507531,-0.027612307000000003,3.702,4.1147,13.1793,0.7037095,-1.64021626,-0.53065236,0.36100388,0.16217801,322.093,276.2914,508.20620729999996,-1.045
QUWAJPZDCZDTJS-UHFFFAOYSA-N,-50.15632104,-0.022136296,11.667,4.5153,13.6166,0.6682206999999999,-2.06803184,-0.6590083999999999,1.0211393,0.6682206999999999,265.31,250.2686,420.0766296,-3.319
QVHJQCGUWFKTSE-YFKPBYRVSA-N,-43.86747294,-0.023233259,3.553,4.9066,13.6355,0.29764405,-1.49036988,-0.55149885,0.42841239,0.17111639,231.239,189.2108,402.6079407,-0.74473
QWCJHSGMANYXCW-UHFFFAOYSA-N,-62.12360079999999,-0.035396687999999996,10.35,5.0077,12.6626,0.49779966,-1.26612611,-0.66321903,1.16101869,-0.01710271,341.62300000000005,314.3612,503.756897,-2.32
QWCKQJZIFLGMSD-UHFFFAOYSA-N,-24.12286077,-0.01547441,2.898,5.1714,12.456,0.36466192,-1.3422023,-0.48303929,0.42348107,0.39005495,131.382,103.1206,275.5584412,0.31
QWUWMCYKGHVNAV-UHFFFAOYSA-N,-36.90325363,-0.0024299120000000002,0.001,5.7722,13.03,0.0,-0.45075477,-0.061239,0.04144709,0.0,244.574,182.2646,424.56594850000005,-4.62
QWVGKYWNOKOFNN-UHFFFAOYSA-N,-23.03456456,-0.007668335,1.455,5.822,13.0559,0.0,-0.58588846,-0.45459307,0.36540223,0.0,138.64,108.1396,283.9181213,-0.62
QXBUYALKJGBACG-UHFFFAOYSA-N,-39.45795261,-0.0027085190000000004,3.9810000000000003,5.3031,11.6681,0.0,-0.45901874,-0.20433285,0.07016749,-0.02781875,245.22,213.2966,400.9724426,-5.593
QXJKBPAVAHBARF-UHFFFAOYSA-N,-53.49129547,-0.011345795,5.938,3.8777,13.7039,0.57197104,-1.59981427,-0.42448789,0.28603214,0.76921601,303.51599999999996,284.1414,474.94064330000003,-4.8
QXKHYNVANLEOEG-UHFFFAOYSA-N,-45.92419912,-0.011111683,7.266,3.5668,13.3576,0.56139694,-1.21519537,-0.50505435,0.35206644,0.56139694,234.963,216.1928,398.4504395,-3.5843800000000003
QYPNKSZPJQQLRK-UHFFFAOYSA-N,-75.0195829,-0.018257949,10.101,4.4236,12.9524,0.27334859,-2.0745607,-0.5075088,0.27334859,0.51304371,446.642,352.4754,653.8265991000001,-5.627999999999999
RDJGWRFTDZZXSM-UHFFFAOYSA-N,-78.91238642,-0.007806955,4.46,5.6244,11.8551,0.22957339999999998,-1.60173029,-0.51039181,0.36425405,0.26734259,433.33,375.4664,626.8980713,-2.222
RDLPVSKMFDYCOR-UEKVPHQBSA-N,-71.96389836,-0.033201344,8.469,4.0683,12.3246,0.16798998,-1.8804624,-0.49575476,0.41904249,0.03328746,389.207,349.4038,578.3925781,-1.232
RDXLYGJSWZYTFJ-UHFFFAOYSA-N,-42.9347639,-0.028009199999999998,17.308,2.6781,13.4816,0.87144661,-0.93006438,-0.49641276,0.53780031,0.02986839,210.86900000000003,214.1984,373.9623108,-3.22
REIUXOLGHVXAEO-UHFFFAOYSA-N,-52.14624045,-0.009943501,1.94,12.2282,13.3464,0.0,-1.25638214,-0.52582114,0.36212911,0.0,349.249,228.4172,611.1718139999999,-6.3499989999999995
REKQLYUAUXYJSZ-UHFFFAOYSA-N,-36.05068334,-0.016499784,6.477,4.9582,12.1459,0.15024484,-1.31263651,-0.54901809,0.2619335,0.29132312,193.08900000000003,166.1792,365.6769409,-1.151
RFDAIACWWDREDC-UHFFFAOYSA-N,-104.4722441,-0.040375215,4.666,4.9951,12.8327,0.99900394,-4.17614771,-0.52407435,0.42738104,0.96145653,565.599,465.6288,712.8771362000001,-5.15
RFMMMVDNIPUKGG-UHFFFAOYSA-N,-43.78817758,-0.031542703,4.106,5.0257,13.4045,0.54071134,-1.92477112,-0.52507585,0.42931446,0.56100625,217.493,189.1676,378.91705319999994,-0.711
RGCVKNLCSQQDEP-UHFFFAOYSA-N,-78.52333829999999,-0.014565473,4.118,5.1095,11.795,0.07889543,-1.53625865,-0.51626949,0.36490305,0.19248394,465.721,403.9689,644.0458984,-4.24034
RGXWDWUGBIJHDO-UHFFFAOYSA-N,-45.81696425,-0.0076422140000000005,3.142,5.3486,13.5951,0.36264858,-1.3533368000000001,-0.48601351,0.36264858,0.36264858,288.185,200.3204,508.2577209,-4.1
