Compound,G_sol,DeltaG_sol,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,volume,LogS,Lsolu_Hsolv,Lsolv_Hsolu
IRCMYGHHKLLGHV-UHFFFAOYSA-N,-30823.7632,375.0691,5.368580000000001,-2.91355,-0.9655,-0.95452,2.47369,-0.43986000000000003,286.3422,524.5583496,323.663,-3.42,12.145,13.468
IRIAEXORFWYRCZ-UHFFFAOYSA-N,-33637.0163,285.7537,4.12121,-1.38196,-0.31729,-0.44122,0.46113999999999994,-1.38196,312.3646,604.6594238,378.57599999999996,-5.649453,11.544,14.134
ISEUFVQQFVOBCY-UHFFFAOYSA-N,-30908.8026,-268.1947,2.61916,-0.19709000000000002,-0.16655999999999999,-0.37969,0.24449,-1.0184600000000001,225.293,491.2127075,289.545,-2.48,12.477,13.208
ISMYLNZMKJLINI-UHFFFAOYSA-N,-29027.648999999998,42.8689,3.6911300000000002,-0.49983999999999995,-0.93789,-0.49983999999999995,0.30723,-0.48793000000000003,268.3176,480.7107239,315.649,-2.86,11.645,12.882
ISWSIDIOOBJBQZ-UHFFFAOYSA-N,-18588.3535,-70.2708,1.69298,-0.31331,-0.52183,-0.31331,0.24924000000000002,-0.31331,94.1128,257.9651184,117.505,0.0,12.535,13.822000000000001
ITEQSCBLCCNACE-UHFFFAOYSA-N,-26881.5858,70.3234,6.875310000000001,-1.1648,-0.09417,-0.54282,0.37783,-1.12263,211.2602,443.2851563,265.744,-0.85,11.638,13.770999999999999
IUTPYMGCWINGEY-UHFFFAOYSA-N,-29037.7344,-263.5411,1.16581,0.0,-1.06335,-0.12669,0.14218,0.38043000000000005,326.4365,471.3568726,310.61,-7.39,11.479000000000001,13.504000000000001
IVUXTESCPZUGJC-UHFFFAOYSA-N,-29105.8632,-2.0780000000000003,7.59158,-0.70405,-0.96391,-0.56081,0.22701,-0.55132,290.7487,537.6580811000001,326.948,-4.89,12.147,12.925999999999998
IWDCLRJOBJJRNH-UHFFFAOYSA-N,-19722.959,-60.6189,1.7819900000000002,-0.31268,-0.56994,-0.31268,0.24811,-0.31268,108.1396,289.1115417,139.251,-0.7,12.517000000000001,13.606
IWYDHOAUDWTVEP-UHFFFAOYSA-N,-22719.5796,235.003,3.19545,-1.1290200000000001,-0.08822999999999999,-0.46737,0.39937,-1.1290200000000001,152.1494,330.9116211,175.696,0.050732,12.327,14.154000000000002
